"top_left_square","top_middle_square","top_right_square","middle_left_square","middle_middle_square","middle_right_square","bottom_left_square","bottom_middle_square","bottom_right_square","class","dataset_name","altered_attribute","noise_level"
"x","x","x","x","o","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","o","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","o","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","o","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","o","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","o","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","x","b","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","b","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","o","b","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","b","o","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","b","o","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","x","b","o","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","o","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","o","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","o","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","o","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","b","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","b","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","x","b","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","x","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","x","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","x","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","x","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","x","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","o","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","b","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","o","b","b","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","x","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","x","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","x","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","o","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","b","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","o","b","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","b","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","b","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","b","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","o","b","b","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","x","o","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","x","o","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","x","o","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","x","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","x","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","x","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","o","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","b","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","o","b","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","b","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","b","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","b","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","o","b","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","o","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","o","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","o","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","o","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","o","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","b","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","b","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","x","b","b","b","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","x","o","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","x","x","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","o","o","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","o","o","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","o","b","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","o","b","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","b","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","x","b","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","x","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","o","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","o","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","o","b","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","o","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","b","o","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","b","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","b","b","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","o","x","b","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","b","x","o","o","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","b","x","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","b","x","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","b","x","b","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","o","b","x","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","x","o","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","x","o","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","x","b","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","x","b","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","o","x","o","o","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","o","x","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","o","x","o","b","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","o","x","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","o","x","b","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","o","o","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","b","x","o","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","x","b","b","x","o","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","x","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","x","o","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","o","o","x","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","o","o","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","o","b","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","b","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","b","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","x","o","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","x","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","o","x","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","o","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","o","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","o","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","o","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","b","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","b","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","b","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","b","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","o","x","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","o","x","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","x","x","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","o","b","x","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","x","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","x","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","b","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","x","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","x","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","x","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","o","x","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","x","b","b","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","x","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","x","o","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","x","o","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","x","b","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","x","b","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","o","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","o","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","o","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","o","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","b","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","b","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","b","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","x","b","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","o","x","x","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","o","x","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","o","o","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","o","b","x","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","o","b","x","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","x","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","x","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","o","x","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","o","x","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","b","x","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","b","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","x","b","b","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","x","x","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","x","x","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","x","x","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","x","o","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","x","b","x","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","x","b","b","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","o","x","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","o","b","b","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","x","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","x","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","o","x","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","o","b","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","b","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","b","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","x","b","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","o","b","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","o","b","b","o","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","x","o","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","x","o","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","x","b","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","x","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","o","x","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","o","o","x","x","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","o","o","x","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","o","b","x","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","o","b","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","b","x","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","b","o","x","x","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","b","o","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","b","o","x","b","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","b","b","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","x","b","b","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","x","x","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","x","x","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","x","o","x","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","o","o","b","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","x","b","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","x","b","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","x","b","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","o","b","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","o","b","o","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","x","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","o","o","x","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","o","o","o","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","x","o","b","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","x","b","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","x","b","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","o","b","b","o","o","x","x","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","x","o","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","x","o","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","x","o","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","x","b","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","x","o","x","o","b","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","x","o","x","b","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","x","o","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","x","o","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","x","b","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","x","b","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","o","x","o","b","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","o","x","b","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","o","b","x","o","o","x","positive","tic-tac-toe","middle_middle_square",0.1
"x","b","x","b","x","o","x","o","o","positive","tic-tac-toe","middle_middle_square",0.1
